Sl no,DISTRICT,BLOCK,Block Code,ONT LOCATION NAME,LOCATION CODE,ONT AVAILABILITY(%),REMARKS,HOTO Status,"GP Router Installed(Yes/No)",GP Router Installation Date,"Visibility in SNOC(Yes/ No)","Visibility in SNOC(Date)",LGD Code
174,KANNUR,PANOOR,6883,KADIRUR,KL-KNU-PAN-221251,75.72,71-85%,Completed,No,,No,,KL-KNU-PAN-221251
175,KANNUR,TALIPARAMBA,6301,CHENGALAI,KL-KNU-TAL-221237,76.17,71-85%,Completed,No,,No,,KL-KNU-TAL-221237
176,PALAKKAD,ALATHUR,6355,ERIMAYUR,KL-PAL-ALA-221607,76.55,71-85%,Completed,No,,No,,KL-PAL-ALA-221607
177,KOZHIKODE,KUNNAMANGALAM,6333,KURUVATTUR,KL-KOZ-KMA-221466,78.03,71-85%,Completed,No,,No,,KL-KOZ-KMA-221466
178,PALAKKAD,PATTAMBI,6365,MUTHUTHALA,KL-PAL-PAT-221675,78.41,71-85%,Completed,No,,No,,KL-PAL-PAT-221675
179,MALAPPURAM,VENGARA,6353,PARAPPUR,KL-MPP-VEN-221594,78.92,71-85%,Completed,No,,No,,KL-MPP-VEN-221594
180,ERNAKULAM,KOTHAMANGALAM,6276,KEERAMPARA,KL-ERN-KOT-221063,79.46,71-85%,Completed,No,,No,,KL-ERN-KOT-221063
181,IDUKKI,DEVIKULAM,6288,SANTHANPARA,KL-IDU-DEV-221141,80.53,71-85%,Completed,No,,No,,KL-IDU-DEV-221141
182,KASARAGOD,MANJESHWAR,6305,BHQ MANJESHWAR,KL-KGD-MAN-BH5995,86.81,86-90%,Completed,No,,No,,KL-KGD-MAN-BH5995
183,KANNUR,THALASSERY,6302,MUZHAPPILANGAD,KL-KNU-THA-221183,87.48,86-90%,Completed,No,,No,,KL-KNU-THA-221183
184,IDUKKI,NEDUMKANDOM,6292,RAJAKKAD,KL-IDU-NED-221166,88,86-90%,Completed,No,,No,,KL-IDU-NED-221166
185,PATHANAMTHITTA,KONNI,6370,THANNITHODU,KL-PNM-KON-221715,91.62,91-97%,Completed,No,,No,,KL-PNM-KON-221715
186,ERNAKULAM,MULANTHURUTHY,6277,MULUMTHURUTHY,KL-ERN-MUL-221075,92.01,91-97%,Completed,No,,No,,KL-ERN-MUL-221075
187,THRISSUR,KODAKARA,6393,TRIKKUR,KL-THR-KOD-221858,92.04,91-97%,Completed,No,,No,,KL-THR-KOD-221858
188,ALAPPUZHA,CHAMPAKULAM,6263,CHAMPAKKULAM,KL-ALA-CHA-220982,92.49,91-97%,Completed,No,,No,,KL-ALA-CHA-220982
189,PATHANAMTHITTA,KOIPURAM,6369,BHQ KOIPURAM,KL-PNM-KOI-BH6061,92.8,91-97%,Completed,No,,No,,KL-PNM-KOI-BH6061
190,KOTTAYAM,UZHAVOOR,6326,MANJOOR,KL-KTM-UZH-221379,92.84,91-97%,Completed,No,,No,,KL-KTM-UZH-221379
191,KOTTAYAM,MADAPPALLY,6323,VAZHAPPALLY,KL-KTM-MAD-221402,93.1,91-97%,Completed,No,,No,,KL-KTM-MAD-221402
192,WAYANAD,PANAMARAM,6882,POOTHADI,KL-WAY-PAN-221934,93.56,91-97%,Completed,No,,No,,KL-WAY-PAN-221934
193,MALAPPURAM,WANDOOR,6354,MAMBAD,KL-MPP-WAN-221599,93.79,91-97%,Completed,No,,No,,KL-MPP-WAN-221599
194,KOTTAYAM,VAZHOOR,6328,KANGAZHA,KL-KTM-VAZ-221431,94.02,91-97%,Completed,No,,No,,KL-KTM-VAZ-221431
195,KANNUR,IRITTY,6296,THILLANKERI,KL-KNU-IRI-221201,94.19,91-97%,Completed,No,,No,,KL-KNU-IRI-221201
196,PATHANAMTHITTA,PANDLAM,6372,ARANMULA,KL-PNM-PAN-221717,94.19,91-97%,Completed,No,,No,,KL-PNM-PAN-221717
197,THIRUVANANTHAPURAM,NEDUMANGAD,6380,ANAD,KL-THM-NED-221775,94.58,91-97%,Completed,No,,No,,KL-THM-NED-221775
198,KOZHIKODE,PERAMBRA,6337,KOOTHALI,KL-KOZ-PER-221492,94.69,91-97%,Completed,No,,No,,KL-KOZ-PER-221492
199,KANNUR,THALASSERY,6302,DHARMADAM,KL-KNU-THA-221249,94.71,91-97%,Completed,No,,No,,KL-KNU-THA-221249
200,MALAPPURAM,VENGARA,6353,THENNALA,KL-MPP-VEN-221595,94.79,91-97%,Completed,No,,No,,KL-MPP-VEN-221595
201,KOZHIKODE,KUNNAMANGALAM,6333,KUNNAMANGALAM,KL-KOZ-KMA-221465,94.93,91-97%,Completed,No,,No,,KL-KOZ-KMA-221465
202,KANNUR,PERAVOOR,6300,KANICHAR,KL-KNU-PER-221228,94.93,91-97%,Completed,No,,No,,KL-KNU-PER-221228
203,PALAKKAD,PATTAMBI,6365,VILAYUR,KL-PAL-PAT-221682,95.02,91-97%,Completed,No,,No,,KL-PAL-PAT-221682
204,KANNUR,PANOOR,6883,MOKERI,KL-KNU-PAN-221210,95.02,91-97%,Completed,No,,No,,KL-KNU-PAN-221210
205,KANNUR,TALIPARAMBA,6301,UDAYAGIRI,KL-KNU-TAL-221247,95.09,91-97%,Completed,No,,No,,KL-KNU-TAL-221247
206,THRISSUR,CHALAKKUDY,6388,PARIYARAM,KL-THR-CLA-221833,95.14,91-97%,Completed,No,,No,,KL-THR-CLA-221833
207,KANNUR,PAYYANNUR,6299,PERINGOME - VAYAKKARA,KL-KNU-PAY-221226,95.2,91-97%,Completed,No,,No,,KL-KNU-PAY-221226
208,KOTTAYAM,VAIKOM,6327,VECHOOR,KL-KTM-VAI-221429,95.25,91-97%,Completed,No,,No,,KL-KTM-VAI-221429
209,KOZHIKODE,BALUSSERI,6329,ULIYERI,KL-KOZ-BAL-221441,95.31,91-97%,Completed,No,,No,,KL-KOZ-BAL-221441
210,ERNAKULAM,PARAVUR,6282,BHQ PARAVUR,KL-ERN-PAR-BH5971,95.42,91-97%,Completed,No,,No,,KL-ERN-PAR-BH5971
211,KOTTAYAM,VAZHOOR,6328,BHQ VAZHOOR,KL-KTM-VAZ-BH6020,95.58,91-97%,Completed,No,,No,,KL-KTM-VAZ-BH6020
212,PALAKKAD,SREEKRISHNAPURAM,6366,KARIMPUZHA,KL-PAL-SRE-221685,95.76,91-97%,Completed,No,,No,,KL-PAL-SRE-221685
213,PATHANAMTHITTA,ELANTHOOR,6368,KOZHENCHERRY,KL-PNM-ELA-221700,95.88,91-97%,Completed,No,,No,,KL-PNM-ELA-221700
214,THIRUVANANTHAPURAM,NEMOM,6381,BHQ NEMOM,KL-THM-NEM-BH6074,95.96,91-97%,Completed,No,,No,,KL-THM-NEM-BH6074
215,KOZHIKODE,THUNERI,6339,BHQ THUNERI,KL-KOZ-THU-BH6031,95.97,91-97%,Completed,No,,No,,KL-KOZ-THU-BH6031
216,KOTTAYAM,KADUTHURUTHY,6320,THALAYOLAPARAMBU,KL-KTM-KAD-221382,96.08,91-97%,Completed,No,,No,,KL-KTM-KAD-221382
217,KANNUR,KANNUR,6297,PAPPINISSERI,KL-KNU-KAN-221244,96.09,91-97%,Completed,No,,No,,KL-KNU-KAN-221244
218,KOLLAM,ANCHAL,6307,BHQ ANCHAL,KL-KLM-ANC-BH5997,96.09,91-97%,Completed,No,,No,,KL-KLM-ANC-BH5997
219,ALAPPUZHA,CHAMPAKULAM,6263,KAINAKARY,KL-ALA-CHA-220984,96.11,91-97%,Completed,No,,No,,KL-ALA-CHA-220984
220,KOTTAYAM,ETTUMANOOR,6319,THIRUVARPU,KL-KTM-ETT-221408,96.11,91-97%,Completed,No,,No,,KL-KTM-ETT-221408
221,ALAPPUZHA,ARYAD,6261,MANNANCHERY,KL-ALA-ARY-220974,96.2,91-97%,Completed,No,,No,,KL-ALA-ARY-220974
222,THIRUVANANTHAPURAM,PERUMKADAVILA,6383,KOLLAYIL,KL-THM-PER-221796,96.31,91-97%,Completed,No,,No,,KL-THM-PER-221796
223,ERNAKULAM,PAMPAKUDA,6280,KOOTHATTUKULAM,KL-ERN-PAM-O221088,96.43,91-97%,Completed,No,,No,,KL-ERN-PAM-O221088
224,MALAPPURAM,KONDOTTY,6342,MUDUVALUR,KL-MPP-KON-239029,96.43,91-97%,Completed,No,,No,,KL-MPP-KON-239029
225,KANNUR,PERAVOOR,6300,MALUR,KL-KNU-PER-221232,96.52,91-97%,Completed,No,,No,,KL-KNU-PER-221232
226,IDUKKI,ELEMDESAM,6289,KODIKULAM,KL-IDU-ELE-221145,96.56,91-97%,Completed,No,,No,,KL-IDU-ELE-221145
227,ALAPPUZHA,CHAMPAKULAM,6263,THALAVADI,KL-ALA-CHA-220987,96.61,91-97%,Completed,No,,No,,KL-ALA-CHA-220987
228,ERNAKULAM,VADAVUCODE,6283,KUNNATHUNAD,KL-ERN-VAD-221106,96.64,91-97%,Completed,No,,No,,KL-ERN-VAD-221106
229,KOTTAYAM,KADUTHURUTHY,6320,BHQ KADUTHURUTHY,KL-KTM-KAD-BH6012,96.82,91-97%,Completed,No,,No,,KL-KTM-KAD-BH6012
230,PALAKKAD,KUZHALMANNAM,6359,KOTTAYI,KL-PAL-KUZ-221630,96.84,91-97%,Completed,No,,No,,KL-PAL-KUZ-221630
231,THRISSUR,CHOWANNUR,6391,KANDANASSERY,KL-THR-CHO-221846,96.87,91-97%,Completed,No,,No,,KL-THR-CHO-221846
232,KASARAGOD,PARAPPA,6885,BALAL,KL-KGD-PAR-221258,96.88,91-97%,Completed,No,,No,,KL-KGD-PAR-221258
233,PALAKKAD,SREEKRISHNAPURAM,6366,BHQ SREEKRISHNAPURAM,KL-PAL-SRE-BH6058,96.92,91-97%,Completed,No,,No,,KL-PAL-SRE-BH6058
234,KOZHIKODE,MELDAY,6335,BHQ MELDAY,KL-KOZ-MEL-BH6027,97.04,91-97%,Completed,No,,No,,KL-KOZ-MEL-BH6027
235,PALAKKAD,ATTAPPADI,6356,AGALI,KL-PAL-ATT-221615,97.09,91-97%,Completed,No,,No,,KL-PAL-ATT-221615
236,THRISSUR,CHERPU,6390,AVINISSERY,KL-THR-CHE-221839,97.12,91-97%,Completed,No,,No,,KL-THR-CHE-221839
237,KASARAGOD,NILESHWAR,6306,BHQ NILESHWAR,KL-KGD-NIL-BH5996,97.15,91-97%,Completed,No,,No,,KL-KGD-NIL-BH5996
238,MALAPPURAM,TIRUR,6351,THALAKKAD,KL-MPP-TRU-221579,97.17,91-97%,Completed,No,,No,,KL-MPP-TRU-221579
239,KANNUR,PAYYANNUR,6299,CHERUPUZHA,KL-KNU-PAY-221216,97.18,91-97%,Completed,No,,No,,KL-KNU-PAY-221216
240,THIRUVANANTHAPURAM,PERUMKADAVILA,6383,ARYANCODE,KL-THM-PER-221794,97.27,91-97%,Completed,No,,No,,KL-THM-PER-221794
241,KOTTAYAM,VAIKOM,6327,BHQ VAIKOM,KL-KTM-VAI-BH6019,97.27,91-97%,Completed,No,,No,,KL-KTM-VAI-BH6019
242,ERNAKULAM,MUVATTUPUZHA,6278,ARAKUZHA,KL-ERN-MUV-221077,97.29,91-97%,Completed,No,,No,,KL-ERN-MUV-221077
243,PALAKKAD,MANNARKAD,6361,KUMARAMPUTHUR,KL-PAL-MAN-221649,97.46,91-97%,Completed,No,,No,,KL-PAL-MAN-221649
244,IDUKKI,ELEMDESAM,6289,VANNAPURAM,KL-IDU-ELE-221148,97.78,91-97%,Completed,No,,No,,KL-IDU-ELE-221148
245,KANNUR,KUTHUPARAMBA,6298,PATTIAM,KL-KNU-KUT-221213,97.78,91-97%,Completed,No,,No,,KL-KNU-KUT-221213
246,KOTTAYAM,PAMPADY,6325,AKALAKUNNAM,KL-KTM-PAM-221410,97.81,91-97%,Completed,No,,No,,KL-KTM-PAM-221410
247,KANNUR,PAYYANNUR,6299,ERAMAM -KUTTOOR,KL-KNU-PAY-221218,97.9,91-97%,Completed,No,,No,,KL-KNU-PAY-221218
248,MALAPPURAM,TIRURANGADI,6352,PERUVALLUR,KL-MPP-TIR-221586,97.96,91-97%,Completed,No,,No,,KL-MPP-TIR-221586
249,PALAKKAD,CHITTUR,6357,ERUTHAMPATHY,KL-PAL-CHI-221618,97.96,91-97%,Completed,No,,No,,KL-PAL-CHI-221618
250,MALAPPURAM,KUTTIPPURAM,6343,EDAYOOR,KL-MPP-KUT-221525,97.98,91-97%,Completed,No,,No,,KL-MPP-KUT-221525
251,IDUKKI,NEDUMKANDOM,6292,KARUNAPURAM,KL-IDU-NED-221163,98.03,98-100%,Completed,No,,No,,KL-IDU-NED-221163
252,MALAPPURAM,TANUR,6350,OZHUR,KL-MPP-TAN-221572,98.04,98-100%,Completed,No,,No,,KL-MPP-TAN-221572
253,ALAPPUZHA,CHENGANNUR,6264,VENMONY,KL-ALA-CHE-220996,98.05,98-100%,Completed,No,,No,,KL-ALA-CHE-220996
254,ERNAKULAM,KOOVAPPADY,6275,VENGOOR,KL-ERN-KOO-221061,98.05,98-100%,Completed,No,,No,,KL-ERN-KOO-221061
255,PALAKKAD,OTTAPPALAM,6363,CHALAVARA,KL-PAL-OTT-221662,98.07,98-100%,Completed,No,,No,,KL-PAL-OTT-221662
256,KOTTAYAM,KADUTHURUTHY,6320,VELLOOR,KL-KTM-KAD-221383,98.1,98-100%,Completed,No,,No,,KL-KTM-KAD-221383
257,KASARAGOD,PARAPPA,6885,EAST ELERI,KL-KGD-PAR-221287,98.14,98-100%,Completed,No,,No,,KL-KGD-PAR-221287
258,KOLLAM,VETTIKKAVALA,6317,VETTIKKAVALA,KL-KLM-VET-221362,98.14,98-100%,Completed,No,,No,,KL-KLM-VET-221362
259,ALAPPUZHA,MUTHUKULAM,6268,DEVIKULANGARA,KL-ALA-MUT-221017,98.15,98-100%,Completed,No,,No,,KL-ALA-MUT-221017
260,PALAKKAD,PALAKKAD,6364,PIRAYARI,KL-PAL-PAL-221672,98.15,98-100%,Completed,No,,No,,KL-PAL-PAL-221672
261,ALAPPUZHA,PATTANAKKAD,6269,BHQ PATTANAKKAD,KL-ALA-PAT-BH5958,98.15,98-100%,Completed,No,,No,,KL-ALA-PAT-BH5958
262,IDUKKI,KATTAPPANA,6291,UPPUTHARA,KL-IDU-KAT-221161,98.16,98-100%,Completed,No,,No,,KL-IDU-KAT-221161
263,KOTTAYAM,PALLOM,6324,PANACHIKKAD,KL-KTM-PAL-221406,98.23,98-100%,Completed,No,,No,,KL-KTM-PAL-221406
264,THIRUVANANTHAPURAM,VELLANAD,6386,UZHAMALAKKAL,KL-THM-VEL-221821,98.35,98-100%,Completed,No,,No,,KL-THM-VEL-221821
265,KOTTAYAM,VAIKOM,6327,UDAYANAPURAM,KL-KTM-VAI-221428,98.37,98-100%,Completed,No,,No,,KL-KTM-VAI-221428
266,KOZHIKODE,KODUVALLY,6331,KATTIPPARA,KL-KOZ-KOD-235965,98.41,98-100%,Completed,No,,No,,KL-KOZ-KOD-235965
267,ALAPPUZHA,VELIYANAD,6271,PULINKUNNU,KL-ALA-VEL-221038,98.46,98-100%,Completed,No,,No,,KL-ALA-VEL-221038
268,THIRUVANANTHAPURAM,KILIMANOOR,6379,MADAVOOR,KL-THM-KIL-221769,98.5,98-100%,Completed,No,,No,,KL-THM-KIL-221769
269,MALAPPURAM,MANKADA,6345,KURUVA,KL-MPP-MAN-221538,98.54,98-100%,Completed,No,,No,,KL-MPP-MAN-221538
270,KOZHIKODE,CHELANNUR,6330,THALAKULATHUR,KL-KOZ-CHE-221448,98.57,98-100%,Completed,No,,No,,KL-KOZ-CHE-221448
271,PATHANAMTHITTA,PARAKODE,6373,KALANJOOR,KL-PNM-PAR-221734,98.58,98-100%,Completed,No,,No,,KL-PNM-PAR-221734
272,KOTTAYAM,UZHAVOOR,6326,BHQ UZHAVOOR,KL-KTM-UZH-BH6018,98.6,98-100%,Completed,No,,No,,KL-KTM-UZH-BH6018
273,PALAKKAD,PALAKKAD,6364,MUNDUR,KL-PAL-PAL-221670,98.63,98-100%,Completed,No,,No,,KL-PAL-PAL-221670
274,THIRUVANANTHAPURAM,PERUMKADAVILA,6383,OTTASEKHARAMANGALAM,KL-THM-PER-221798,98.63,98-100%,Completed,No,,No,,KL-THM-PER-221798
275,PALAKKAD,CHITTUR,6357,BHQ CHITTUR,KL-PAL-CHI-BH6049,98.66,98-100%,Completed,No,,No,,KL-PAL-CHI-BH6049
276,KANNUR,TALIPARAMBA,6301,PARIYARAM,KL-KNU-TAL-221245,98.72,98-100%,Completed,No,,No,,KL-KNU-TAL-221245
277,IDUKKI,IDUKKI,6290,ARAKULAM,KL-IDU-IDU-221150,98.73,98-100%,Completed,No,,No,,KL-IDU-IDU-221150
278,IDUKKI,AZHUTHA,6287,PEERUMEDU,KL-IDU-AZH-221133,98.75,98-100%,Completed,No,,No,,KL-IDU-AZH-221133
279,THIRUVANANTHAPURAM,POTHENCODE,6378,BHQ POTHENCODE,KL-THM-POT-BH6071,98.77,98-100%,Completed,No,,No,,KL-THM-POT-BH6071
280,KOZHIKODE,KODUVALLY,6331,OMASSERY,KL-KOZ-KOD-221453,98.78,98-100%,Completed,No,,No,,KL-KOZ-KOD-221453
281,IDUKKI,NEDUMKANDOM,6292,PAMPADUMPARA,KL-IDU-NED-221165,98.84,98-100%,Completed,No,,No,,KL-IDU-NED-221165
282,IDUKKI,KATTAPPANA,6291,KATTAPPANA,KL-IDU-KAT-O221160,98.86,98-100%,Completed,No,,No,,KL-IDU-KAT-O221160
283,PALAKKAD,MALAMPUZHA,6360,KODUMBA,KL-PAL-MAL-221666,98.88,98-100%,Completed,No,,No,,KL-PAL-MAL-221666
284,KANNUR,IRIKKUR,6295,ULIKKAL,KL-KNU-IRK-221194,98.9,98-100%,Completed,No,,No,,KL-KNU-IRK-221194
285,MALAPPURAM,KALIKAVU,6881,BHQ KALIKAVU,KL-MPP-KAL-BH6692,98.94,98-100%,Completed,No,,No,,KL-MPP-KAL-BH6692
286,ALAPPUZHA,THYCATTUSSERY,6270,THAICATTUSSERY,KL-ALA-THY-221034,98.95,98-100%,Completed,No,,No,,KL-ALA-THY-221034
287,THRISSUR,PUZHAKKAL,6399,KAIPARAMBA,KL-THR-PUZ-221890,99.01,98-100%,Completed,No,,No,,KL-THR-PUZ-221890
288,ERNAKULAM,MUVATTUPUZHA,6278,AVOLY,KL-ERN-MUV-221078,99.04,98-100%,Completed,No,,No,,KL-ERN-MUV-221078
289,KANNUR,PANOOR,6883,PERINGALAM,KL-KNU-PAN-O221255,99.04,98-100%,Completed,No,,No,,KL-KNU-PAN-O221255
290,KANNUR,PANOOR,6883,KARIYAD,KL-KNU-PAN-O221252,99.05,98-100%,Completed,No,,No,,KL-KNU-PAN-O221252
291,KANNUR,PANOOR,6883,PANOOR,KL-KNU-PAN-O221212,99.05,98-100%,Completed,No,,No,,KL-KNU-PAN-O221212
292,KOLLAM,ANCHAL,6307,KARAVALOOR,KL-KLM-ANC-221300,99.06,98-100%,Completed,No,,No,,KL-KLM-ANC-221300
293,IDUKKI,NEDUMKANDOM,6292,NEDUMKANDAM,KL-IDU-NED-221164,99.06,98-100%,Completed,No,,No,,KL-IDU-NED-221164
294,KOTTAYAM,ETTUMANOOR,6319,ARPOOKARA,KL-KTM-ETT-221373,99.1,98-100%,Completed,No,,No,,KL-KTM-ETT-221373
295,PALAKKAD,OTTAPPALAM,6363,LAKKIDIPERUR,KL-PAL-OTT-221663,99.12,98-100%,Completed,No,,No,,KL-PAL-OTT-221663
296,PATHANAMTHITTA,MALLAPPALLY,6371,KOTTANGAL,KL-PNM-MAL-221724,99.14,98-100%,Completed,No,,No,,KL-PNM-MAL-221724
297,PALAKKAD,SREEKRISHNAPURAM,6366,THRIKKADEERI,KL-PAL-SRE-221688,99.15,98-100%,Completed,No,,No,,KL-PAL-SRE-221688
298,PALAKKAD,TRITHALA,6367,NAGALASSERY,KL-PAL-TRI-221693,99.16,98-100%,Completed,No,,No,,KL-PAL-TRI-221693
299,KOTTAYAM,KADUTHURUTHY,6320,KADUTHURUTHY,KL-KTM-KAD-221377,99.18,98-100%,Completed,No,,No,,KL-KTM-KAD-221377
300,KANNUR,PERAVOOR,6300,KOTTIYOOR,KL-KNU-PER-221231,99.21,98-100%,Completed,No,,No,,KL-KNU-PER-221231
301,KOTTAYAM,PAMPADY,6325,PAMPADY,KL-KTM-PAM-221415,99.25,98-100%,Completed,No,,No,,KL-KTM-PAM-221415
302,MALAPPURAM,TIRUR,6351,THIRUNAVAYA,KL-MPP-TRU-221580,99.27,98-100%,Completed,No,,No,,KL-MPP-TRU-221580
303,KOLLAM,KOTTARAKKARA,6312,POOYAPPALLY,KL-KLM-KOT-221335,99.32,98-100%,Completed,No,,No,,KL-KLM-KOT-221335
304,THIRUVANANTHAPURAM,NEDUMANGAD,6380,KARAKULAM,KL-THM-NED-221777,99.34,98-100%,Completed,No,,No,,KL-THM-NED-221777
305,KOLLAM,CHAVARA,6309,THEKKUMBHAGAM,KL-KLM-CHA-221315,99.34,98-100%,Completed,No,,No,,KL-KLM-CHA-221315
306,PALAKKAD,TRITHALA,6367,KAPPUR,KL-PAL-TRI-221692,99.34,98-100%,Completed,No,,No,,KL-PAL-TRI-221692
307,ERNAKULAM,VADAVUCODE,6283,VADAVUCODE PUTHEN CRUZ,KL-ERN-VAD-221110,99.36,98-100%,Completed,No,,No,,KL-ERN-VAD-221110
308,PATHANAMTHITTA,KONNI,6370,BHQ KONNI,KL-PNM-KON-BH6062,99.39,98-100%,Completed,No,,No,,KL-PNM-KON-BH6062
309,ALAPPUZHA,ARYAD,6261,BHQ ARYAD,KL-ALA-ARY-BH5950,99.41,98-100%,Completed,No,,No,,KL-ALA-ARY-BH5950
310,THRISSUR,MULLASSERY,6396,PAVARATTY,KL-THR-MUL-221874,99.43,98-100%,Completed,No,,No,,KL-THR-MUL-221874
311,KOTTAYAM,PAMPADY,6325,KOOROPPADA,KL-KTM-PAM-221412,99.44,98-100%,Completed,No,,No,,KL-KTM-PAM-221412
312,PATHANAMTHITTA,MALLAPPALLY,6371,BHQ MALLAPALLY,KL-PNM-MAL-BH6064,99.45,98-100%,Completed,No,,No,,KL-PNM-MAL-BH6064
313,KANNUR,EDAKKAD,6294,BHQ EDAKKAD,KL-KNU-EDA-BH5984,99.46,98-100%,Completed,No,,No,,KL-KNU-EDA-BH5984
314,KOLLAM,VETTIKKAVALA,6317,PAVITHRESWARAM,KL-KLM-VET-221360,99.49,98-100%,Completed,No,,No,,KL-KLM-VET-221360
315,KANNUR,KANNUR,6297,CHIRAKKAL,KL-KNU-KAN-221203,99.49,98-100%,Completed,No,,No,,KL-KNU-KAN-221203
316,KOZHIKODE,KUNNAMANGALAM,6333,MUKKOM,KL-KOZ-KMA-O221468,99.52,98-100%,Completed,No,,No,,KL-KOZ-KMA-O221468
317,IDUKKI,NEDUMKANDOM,6292,RAJAKUMARI,KL-IDU-NED-221167,99.52,98-100%,Completed,No,,No,,KL-IDU-NED-221167
318,KANNUR,PANOOR,6883,CHOKLI,KL-KNU-PAN-221248,99.56,98-100%,Completed,No,,No,,KL-KNU-PAN-221248
319,PATHANAMTHITTA,MALLAPPALLY,6371,KAVIYOOR,KL-PNM-MAL-221722,99.56,98-100%,Completed,No,,No,,KL-PNM-MAL-221722
320,KOTTAYAM,KANJIRAPPALLY,6321,MUNDAKAYAM,KL-KTM-KAN-221388,99.58,98-100%,Completed,No,,No,,KL-KTM-KAN-221388
321,PALAKKAD,PALAKKAD,6364,KONGAD,KL-PAL-PAL-221667,99.58,98-100%,Completed,No,,No,,KL-PAL-PAL-221667
322,PATHANAMTHITTA,PANDLAM,6372,KULANADA,KL-PNM-PAN-221718,99.6,98-100%,Completed,No,,No,,KL-PNM-PAN-221718
323,KOTTAYAM,ERATTUPETTA,6318,THALANAD,KL-KTM-ERA-221369,99.61,98-100%,Completed,No,,No,,KL-KTM-ERA-221369
324,KANNUR,PERAVOOR,6300,KOLAYAD,KL-KNU-PER-221230,99.61,98-100%,Completed,No,,No,,KL-KNU-PER-221230
325,PALAKKAD,NEMMARA,6362,MELARCODE,KL-PAL-NEM-221656,99.61,98-100%,Completed,No,,No,,KL-PAL-NEM-221656
326,THRISSUR,ANTHIKKAD,6387,BHQ ANTHIKKAD,KL-THR-ANT-BH6081,99.61,98-100%,Completed,No,,No,,KL-THR-ANT-BH6081
327,KOZHIKODE,KODUVALLY,6331,THIRUVAMBADI,KL-KOZ-KOD-221456,99.62,98-100%,Completed,No,,No,,KL-KOZ-KOD-221456
328,KOLLAM,CHITTUMALA,6310,PERAYAM,KL-KLM-CHI-221321,99.63,98-100%,Completed,No,,No,,KL-KLM-CHI-221321
329,PALAKKAD,OTTAPPALAM,6363,VANIAMKULAM,KL-PAL-OTT-221664,99.63,98-100%,Completed,No,,No,,KL-PAL-OTT-221664
330,PALAKKAD,TRITHALA,6367,CHALISSERI,KL-PAL-TRI-221691,99.63,98-100%,Completed,No,,No,,KL-PAL-TRI-221691
331,PALAKKAD,ATTAPPADI,6356,PUDUR,KL-PAL-ATT-221616,99.64,98-100%,Completed,No,,No,,KL-PAL-ATT-221616
332,THIRUVANANTHAPURAM,VARKALA,6385,BHQ VARKALA,KL-THM-VAR-BH6079,99.66,98-100%,Completed,No,,No,,KL-THM-VAR-BH6079
333,THIRUVANANTHAPURAM,PARASSALA,6382,BHQ PARASSALA,KL-THM-PAR-BH6075,99.67,98-100%,Completed,No,,No,,KL-THM-PAR-BH6075
334,KOZHIKODE,KUNNAMANGALAM,6333,PERUMANNA,KL-KOZ-KMA-221469,99.68,98-100%,Completed,No,,No,,KL-KOZ-KMA-221469
335,MALAPPURAM,PONNANI,6349,BHQ PONNANI,KL-MPP-PON-BH6041,99.69,98-100%,Completed,No,,No,,KL-MPP-PON-BH6041
336,THIRUVANANTHAPURAM,VAMANAPURAM,6384,PULLAMPARA,KL-THM-VAM-221807,99.72,98-100%,Completed,No,,No,,KL-THM-VAM-221807
337,KOLLAM,SASTHAMCOTTAH,6316,MYNAGAPPALLY,KL-KLM-SAS-221329,99.72,98-100%,Completed,No,,No,,KL-KLM-SAS-221329
338,PALAKKAD,NEMMARA,6362,AYILOOR,KL-PAL-NEM-221654,99.72,98-100%,Completed,No,,No,,KL-PAL-NEM-221654
339,ALAPPUZHA,HARIPPAD,6265,KUMARAPURAM,KL-ALA-HAR-221002,99.73,98-100%,Completed,No,,No,,KL-ALA-HAR-221002
340,ALAPPUZHA,MAVELIKKARA,6267,THAZHAKKARA,KL-ALA-MAV-221014,99.74,98-100%,Completed,No,,No,,KL-ALA-MAV-221014
341,KOLLAM,OACHIRA,6314,OACHIRA,KL-KLM-OAC-221343,99.74,98-100%,Completed,No,,No,,KL-KLM-OAC-221343
342,ERNAKULAM,VYPEEN,6285,NJARAKKAL,KL-ERN-VYP-221122,99.75,98-100%,Completed,No,,No,,KL-ERN-VYP-221122
343,PATHANAMTHITTA,RANNI,6375,NARANAMOOZHY,KL-PNM-RAN-221743,99.75,98-100%,Completed,No,,No,,KL-PNM-RAN-221743
344,ERNAKULAM,EDAPPALLY,6274,CHERANALLUR,KL-ERN-EDA-221054,99.76,98-100%,Completed,No,,No,,KL-ERN-EDA-221054
345,KOLLAM,SASTHAMCOTTAH,6316,PORUVAZHY,KL-KLM-SAS-221352,99.76,98-100%,Completed,No,,No,,KL-KLM-SAS-221352
346,ERNAKULAM,EDAPPALLY,6274,ELAMKUNNAPUZHA,KL-ERN-EDA-221118,99.77,98-100%,Completed,No,,No,,KL-ERN-EDA-221118
347,KOTTAYAM,PALLOM,6324,KURICHY,KL-KTM-PAL-221397,99.77,98-100%,Completed,No,,No,,KL-KTM-PAL-221397
348,MALAPPURAM,KONDOTTY,6342,CHERUKAVU,KL-MPP-KON-221517,99.77,98-100%,Completed,No,,No,,KL-MPP-KON-221517
